Line,New_Trans_Capacity_p1,New_Trans_Capacity_p2,New_Trans_Capacity_p3
1,311.8625870519256,628.9155046031628,397.6838374603689
2,0.0,1045.734994982997,3459.5075344025545
3,0.0,892.2647787377035,2420.115941011335
4,1238.4547952526061,3207.178899096917,2969.347109448763
5,0.0,0.0,817.558092454839
6,1022.3600878672676,3155.1277601329293,703.97699970555
7,83.03180051796991,1291.780524685863,2052.1534909463944
8,357.3812597861413,602.0991085074137,809.1373490232218
9,489.3948727432518,2180.204093366391,0.0
10,0.0,0.0,0.0
