Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
CNQ_SQ2_SOLAR,1,1,1,1,24.11284089,8000,-1,50930.60702,18180,0,0.05,0.05,0,0,CNQ,1
CNQ_SQ3_SOLAR,1,1,1,1,916.1614677,3400,-1,50930.60702,18180,0,0.05,0.05,0,0,CNQ,1
CNQ_SQ4_SOLAR,1,1,1,1,423.0383483,6900,-1,50930.60702,18180,0,0.05,0.05,0,0,CNQ,1
GG_SQ6_SOLAR,2,1,1,1,113.8374463,7500,-1,50930.60702,18180,0,0.05,0.05,0,0,GG,1
SQ_SQ7_SOLAR,3,1,1,1,427.9138106,5000,-1,50930.60702,18180,0,0.05,0.05,0,0,SQ,1
SQ_SQ8_SOLAR,3,1,1,1,1694.936086,7000,-1,50930.60702,18180,0,0.05,0.05,0,0,SQ,1
NNSW_SN1_SOLAR,4,1,1,1,494.8402631,500,-1,50930.60702,18180,0,0.05,0.05,0,0,NNSW,2
NNSW_SN2_SOLAR,4,1,1,1,710.3859735,7000,-1,50930.60702,18180,0,0.05,0.05,0,0,NNSW,2
CNSW_SN3_SOLAR,5,1,1,1,1004.923949,8000,-1,50930.60702,18180,0,0.05,0.05,0,0,CNSW,2
SNSW_SN5_SOLAR,7,1,1,1,1389.47513,3200,-1,50930.60702,18180,0,0.05,0.05,0,0,SNSW,2
SNW_SN9_SOLAR,6,1,1,1,0,1000,-1,50930.60702,18180,0,0.05,0.05,0,0,SNW,2
VIC_SV2_SOLAR,8,1,1,1,696.51,5700,-1,50930.60702,18180,0,0.05,0.05,0,0,VIC,3
VIC_SV6_SOLAR,8,1,1,1,400.59,2000,-1,50930.60702,18180,0,0.05,0.05,0,0,VIC,3
SA_SS3_SOLAR,9,1,1,1,0,4000,-1,50930.60702,18180,0,0.05,0.05,0,0,SA,4
SA_SS7_SOLAR,9,1,1,1,175,700,-1,50930.60702,18180,0,0.05,0.05,0,0,SA,4
SA_SS5_SOLAR,9,1,1,1,175,3000,-1,50930.60702,18180,0,0.05,0.05,0,0,SA,4
TAS_ST2_SOLAR,10,1,1,1,0,150,-1,50930.60702,18180,0,0.05,0.05,0,0,TAS,5
CNQ_WQ1_WIND,1,1,1,1,180.52,1400,-1,164155.5194,26000,0,0.05,0.05,0,0,CNQ,1
CNQ_WQ2_WIND,1,1,1,1,212,6000,-1,164155.5194,26000,0,0.05,0.05,0,0,CNQ,1
CNQ_WQ4_WIND,1,1,1,1,0,3800,-1,164155.5194,26000,0,0.05,0.05,0,0,CNQ,1
CNQ_WQ3_WIND,1,1,1,1,0,5500,-1,164155.5194,26000,0,0.05,0.05,0,0,CNQ,1
GG_WQ6_WIND,2,1,1,1,0,3500,-1,164155.5194,26000,0,0.05,0.05,0,0,GG,1
SQ_WQ8_WIND,3,1,1,1,625.88,9000,-1,164155.5194,26000,0,0.05,0.05,0,0,SQ,1
NNSW_WN2_WIND,4,1,1,1,270,7400,-1,164155.5194,26000,0,0.05,0.05,0,0,NNSW,2
CNSW_WN3_WIND,5,1,1,1,723.52,8000,-1,164155.5194,26000,0,0.05,0.05,0,0,CNSW,2
SNW_WN9_WIND,6,1,1,1,0,1600,-1,164155.5194,26000,0,0.05,0.05,0,0,SNW,2
SNSW_WACT_WIND,7,1,1,1,1588.21,3000,-1,164155.5194,26000,0,0.05,0.05,0,0,SNSW,2
VIC_WV3_WIND,8,1,1,1,2360,2600,-1,164155.5194,26000,0,0.05,0.05,0,0,VIC,3
VIC_WV4_WIND,8,1,1,1,2000,4500,-1,164155.5194,26000,0,0.05,0.05,0,0,VIC,3
VIC_WV5_WIND,8,1,1,1,0,2000,-1,164155.5194,26000,0,0.05,0.05,0,0,VIC,3
VIC_WV7_WIND,8,1,1,1,0,10000,-1,345215.7108,183000,0,0.05,0.05,0,0,VIC,3
SA_WS1_WIND,9,1,1,1,392.2932876,1100,-1,164155.5194,26000,0,0.05,0.05,0,0,SA,4
SA_WS3_WIND,9,1,1,1,1801.322991,4600,-1,164155.5194,26000,0,0.05,0.05,0,0,SA,4
SA_WS4_WIND,9,1,1,1,566.3837214,800,-1,164155.5194,26000,0,0.05,0.05,0,0,SA,4
TAS_WT1_WIND,10,1,1,1,168,600,-1,164155.5194,26000,0,0.05,0.05,0,0,TAS,5
TAS_WT2_WIND,10,1,1,1,393.6,800,-1,164155.5194,26000,0,0.05,0.05,0,0,TAS,5
TAS_WT3_WIND,10,1,1,1,0,2300,-1,164155.5194,26000,0,0.05,0.05,0,0,TAS,5
