Resource,Derating_Factor_1
CNQ_CCGT,0.9
CNQ_COAL,0.9
GG_COAL,0.9
SQ_COAL,0.9
CNSW_COAL,0.9
SNW_COAL,0.9
VIC_COAL,0.9
GG_CCGT,0.9
SQ_CCGT,0.9
NNSW_CCGT,0.9
CNSW_CCGT,0.9
SNW_CCGT,0.9
SNSW_CCGT,0.9
VIC_CCGT,0.9
SA_CCGT,0.9
TAS_CCGT,0.9
CNQ_OCGT,0.9
GG_OCGT,0.9
SQ_OCGT,0.9
NNSW_OCGT,0.9
CNSW_OCGT,0.9
SNW_OCGT,0.9
SNSW_OCGT,0.9
VIC_OCGT,0.9
SA_OCGT,0.9
TAS_OCGT,0.9
CNQ_BIO,0.9
CNQ_BATTERY,0.9
GG_BATTERY,0.9
SQ_BATTERY,0.9
NNSW_BATTERY,0.9
CNSW_BATTERY,0.9
SNW_BATTERY,0.9
SNSW_BATTERY,0.9
VIC_BATTERY,0.9
SA_BATTERY,0.9
TAS_BATTERY,0.9
CNQ_PH,0.9
GG_PH,0.9
SQ_PH,0.9
NNSW_PH,0.9
CNSW_PH,0.9
SNW_PH,0.9
SNSW_PH,0.9
VIC_PH,0.9
SA_PH,0.9
TAS_PH,0.9
CNQ_PH_NEW,0.9
SNSW_PH_SNOWY,0.9
TAS_PH_NEW,0.9
CNQ_RS,0.9
GG_RS,0.9
SQ_RS,0.9
NNSW_RS,0.9
CNSW_RS,0.9
SNW_RS,0.9
SNSW_RS,0.9
VIC_RS,0.9
SA_RS,0.9
TAS_RS,0.9
CNQ_SQ2_SOLAR,0.05
CNQ_SQ3_SOLAR,0.05
CNQ_SQ4_SOLAR,0.05
GG_SQ6_SOLAR,0.05
SQ_SQ7_SOLAR,0.05
SQ_SQ8_SOLAR,0.05
NNSW_SN1_SOLAR,0.05
NNSW_SN2_SOLAR,0.05
CNSW_SN3_SOLAR,0.05
SNSW_SN5_SOLAR,0.05
SNW_SN9_SOLAR,0.05
VIC_SV2_SOLAR,0.05
VIC_SV6_SOLAR,0.05
SA_SS3_SOLAR,0.05
SA_SS7_SOLAR,0.05
SA_SS5_SOLAR,0.05
TAS_ST2_SOLAR,0.05
CNQ_WQ1_WIND,0.05
CNQ_WQ2_WIND,0.05
CNQ_WQ3_WIND,0.05
CNQ_WQ4_WIND,0.05
GG_WQ6_WIND,0.05
SQ_WQ8_WIND,0.05
NNSW_WN2_WIND,0.05
CNSW_WN3_WIND,0.05
SNSW_WACT_WIND,0.05
SNW_WN9_WIND,0.05
VIC_WV3_WIND,0.05
VIC_WV4_WIND,0.05
VIC_WV5_WIND,0.05
VIC_WV7_WIND,0.05
SA_WS1_WIND,0.05
SA_WS3_WIND,0.05
SA_WS4_WIND,0.05
TAS_WT1_WIND,0.05
TAS_WT2_WIND,0.05
TAS_WT3_WIND,0.05
