,Network_zones,CO_2_Cap_Zone_1,CO_2_Cap_Zone_2,CO_2_Cap_Zone_3,CO_2_Cap_Zone_4,CO_2_Cap_Zone_5,CO_2_Cap_Zone_6,CO_2_Cap_Zone_7,CO_2_Cap_Zone_8,CO_2_Cap_Zone_9,CO_2_Cap_Zone_10,CO_2_Max_tons_MWh_1,CO_2_Max_tons_MWh_2,CO_2_Max_tons_MWh_3,CO_2_Max_tons_MWh_4,CO_2_Max_tons_MWh_5,CO_2_Max_tons_MWh_6,CO_2_Max_tons_MWh_7,CO_2_Max_tons_MWh_8,CO_2_Max_tons_MWh_9,CO_2_Max_tons_MWh_10
CNQ,z1,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
GG,z2,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
SQ,z3,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
NNSW,z4,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
CNSW,z5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
SNW,z6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
SNSW,z7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0
VIC,z8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0
SA,z9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0
TAS,z10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2
