Resource,Fuel,Zone,AnnualSumCosts
CNQ_COAL,QL_CO,1,0.0
GG_COAL,QL_CO,2,0.0
SQ_COAL,QL_CO,3,0.0
CNSW_COAL,NSW_CO,5,0.0
SNW_COAL,NSW_CO,6,0.0
VIC_COAL,VIC_CO,8,0.0
CNQ_CCGT,QL_GA,1,2.012518530226631e8
GG_CCGT,QL_GA,2,1.3359266657015766e8
SQ_CCGT,QL_GA,3,3.408316280609661e8
NNSW_CCGT,NSW_GA,4,4.963105431451259e7
CNSW_CCGT,NSW_GA,5,3.8504032564585626e7
SNW_CCGT,NSW_GA,6,5.88918649569633e8
SNSW_CCGT,NSW_GA,7,7.860531147994037e7
VIC_CCGT,VIC_GA,8,5.368528096381003e8
SA_CCGT,SA_GA,9,1.6405910098688418e8
TAS_CCGT,TAS_GA,10,1.3644566110703102e8
CNQ_OCGT,QL_GA,1,1.828266613896818e7
GG_OCGT,QL_GA,2,1.464613483536663e7
SQ_OCGT,QL_GA,3,1.0407464228882814e6
NNSW_OCGT,NSW_GA,4,7934.698901098903
CNSW_OCGT,NSW_GA,5,8.118492582890622e7
SNW_OCGT,NSW_GA,6,149541.5164153316
SNSW_OCGT,NSW_GA,7,291429.18510182766
VIC_OCGT,VIC_GA,8,3.712464131092231e7
SA_OCGT,SA_GA,9,1.830442922794365e7
TAS_OCGT,TAS_GA,10,104972.30698807968
CNQ_BIO,QL_BI,1,0.0
